Order Date,Customer Name,Region,Category,Sales,Profit,Month,year
2019-01-01,Brendan Murry,East,Furniture,73.94,28.2668,1,2019
2019-01-02,Brendan Murry,East,Furniture,173.94,38.2668,1,2019
2019-01-02,Brendan Murry,East,Technology,231.98,67.2742,1,2019
2019-01-03,Lena Radford,West,Office Supplies,114.46,28.615,1,2019
2019-01-03,Christine Abelman,Central,Technology,30.08,-5.264,1,2019
2019-01-03,Christine Abelman,Central,Technology,165.6,-6.21,1,2019
2019-01-03,Christine Abelman,Central,Technology,180.96,13.572,1,2019
2019-01-03,Bill Overfelt,Central,Furniture,1592.85,350.427,1,2019
2019-01-03,Bill Overfelt,Central,Office Supplies,11.88,5.346,1,2019
2019-01-04,Erica Bern,South,Technology,959.968,119.996,1,2019
2019-01-04,Ben Peterman,East,Office Supplies,4.672,0.584,1,2019
2019-01-04,Ben Peterman,East,Office Supplies,104.58,-80.178,1,2019
2019-01-05,Anthony Johnson,South,Technology,191.472,40.6878,1,2019
2019-01-05,Anthony Johnson,South,Office Supplies,5.248,0.5904,1,2019
2019-01-05,Anthony Johnson,South,Technology,59.184,5.1786,1,2019
2019-01-07,Dianna Wilson,West,Office Supplies,34.58,10.0282,1,2019
2019-01-07,Neoma Murray,Central,Furniture,23.076,-10.9611,1,2019
2019-01-07,Neoma Murray,Central,Office Supplies,25.92,9.072,1,2019
2019-01-08,Jack O'Briant,Central,Furniture,1565.88,407.1288,1,2019
2019-01-08,Jack O'Briant,Central,Office Supplies,106.05,49.8435,1,2019
2019-01-08,Vivek Sundaresam,South,Office Supplies,30.828,-24.6624,1,2019
2019-01-08,Vivek Sundaresam,South,Office Supplies,47.616,5.952,1,2019
2019-01-08,Vivek Sundaresam,South,Technology,108.784,10.8784,1,2019
2019-01-09,Laura Armstrong,West,Technology,349.95,118.983,1,2019
2019-01-09,Laura Armstrong,West,Technology,377.928,141.723,1,2019
2019-01-09,Maureen Fritzler,East,Furniture,15.168,3.792,1,2019
2019-01-10,Ken Black,West,Furniture,79.92,34.3656,1,2019
2019-01-10,Ken Black,West,Technology,69.98,13.2962,1,2019
2019-01-10,Joy Bell-,West,Furniture,24.85,7.7035,1,2019
2019-01-11,Deanra Eno,East,Office Supplies,15.552,5.4432,1,2019
2019-01-11,Deanra Eno,East,Office Supplies,63.312,20.5764,1,2019
2019-01-11,Deanra Eno,East,Technology,15.588,-9.8724,1,2019
2019-01-11,Mark Packer,East,Furniture,54.992,8.9362,1,2019
2019-01-14,Anna Gayman,South,Office Supplies,89.568,32.4684,1,2019
2019-01-14,Anna Gayman,South,Furniture,315.776,31.5776,1,2019
2019-01-15,Dean percer,East,Office Supplies,52.34,24.5998,1,2019
2019-01-15,Dean percer,East,Office Supplies,4.66,1.3514,1,2019
2019-01-15,Dean percer,East,Technology,254.97,91.7892,1,2019
2019-01-15,Roy Collins,East,Furniture,181.797,-15.5826,1,2019
2019-01-15,William Brown,East,Office Supplies,16.52,7.5992,1,2019
2019-01-15,William Brown,East,Office Supplies,60.12,28.8576,1,2019
2019-01-15,William Brown,East,Office Supplies,49.536,17.3376,1,2019
2019-01-15,Bill Eplett,East,Office Supplies,81.98,40.1702,1,2019
2019-01-16,Eric Hoffmann,West,Office Supplies,11.648,4.2224,1,2019
2019-01-16,Eric Hoffmann,West,Technology,90.57,11.7741,1,2019
2019-01-17,Chuck Clark,East,Furniture,322.59,64.518,1,2019
2019-01-17,Chuck Clark,East,Technology,29.99,13.1956,1,2019
2019-01-17,Chuck Clark,East,Technology,371.97,66.9546,1,2019
2019-01-17,Dionis Lloyd,South,Technology,316.0,31.6,1,2019
2019-01-21,Tamara Dahlen,West,Furniture,153.568,-5.7588,1,2019
2019-01-21,Tamara Dahlen,West,Furniture,1013.488,76.0116,1,2019
2019-01-22,Paul Gonzalez,East,Office Supplies,7.56,0.3024,1,2019
2019-01-22,Carlos Meador,South,Furniture,14.272,4.2816,1,2019
2019-01-22,Carlos Meador,South,Furniture,451.136,-67.6704,1,2019
2019-01-22,Carlos Meador,South,Office Supplies,64.864,6.4864,1,2019
2019-01-22,Anthony Johnson,West,Furniture,109.9,37.366,1,2019
2019-01-22,Marc Crier,West,Office Supplies,12.96,6.2208,1,2019
2019-01-22,Frank Preis,West,Office Supplies,44.4,22.2,1,2019
2019-01-22,Frank Preis,West,Office Supplies,20.65,9.499,1,2019
2019-01-22,Bradley Talbott,East,Technology,110.376,-20.2356,1,2019
2019-01-22,Bradley Talbott,East,Technology,55.176,15.8631,1,2019
2019-01-22,Toby Braunhardt,East,Office Supplies,26.336,9.2176,1,2019
2019-01-23,Christy Brittain,West,Furniture,59.99,21.5964,1,2019
2019-01-23,Claudia Bergmann,East,Technology,99.98,42.9914,1,2019
2019-01-23,Claudia Bergmann,East,Office Supplies,8.04,2.7336,1,2019
2019-01-23,Claudia Bergmann,East,Office Supplies,1564.29,406.7154,1,2019
2019-01-24,Henry Goldwyn,South,Office Supplies,31.36,15.68,1,2019
2019-01-25,Todd Boyes,East,Office Supplies,9.21,2.3025,1,2019
2019-01-25,Todd Boyes,East,Office Supplies,18.0,8.28,1,2019
2019-01-25,Jonathan Doherty,East,Office Supplies,43.12,15.092,1,2019
2019-01-25,Jonathan Doherty,East,Furniture,313.722,-99.3453,1,2019
2019-01-25,Jonathan Doherty,East,Furniture,45.98,7.8166,1,2019
2019-01-25,Jonathan Doherty,East,Office Supplies,428.68,0.0,1,2019
2019-01-28,Henry Goldwyn,West,Office Supplies,39.68,10.3168,1,2019
2019-01-30,Jeremy Farry,West,Office Supplies,17.456,5.8914,1,2019
2019-01-30,Steven Cartwright,West,Office Supplies,305.01,76.2525,1,2019
2019-01-30,Steven Cartwright,West,Office Supplies,50.784,17.7744,1,2019
2019-01-30,Steven Cartwright,West,Office Supplies,26.01,12.2247,1,2019
2019-01-30,Tim Brockman,West,Furniture,435.168,-59.8356,1,2019
2019-01-30,Tim Brockman,West,Furniture,48.58,7.7728,1,2019
2019-01-30,Harold Engle,Central,Office Supplies,156.512,52.8228,1,2019
2019-01-30,David Flashing,Central,Technology,1439.968,143.9968,1,2019
2019-01-30,David Flashing,Central,Office Supplies,1.728,-2.6784,1,2019
2019-01-30,David Flashing,Central,Furniture,626.1,-538.446,1,2019
2019-01-31,Sample Company A,West,Technology,109.592,8.2194,1,2019
2019-01-31,Sample Company A,West,Office Supplies,56.7,27.783,1,2019
2019-01-31,Aimee Bixby,Central,Office Supplies,15.552,5.4432,1,2019
2019-01-31,Jason Klamczynski,East,Office Supplies,23.36,11.68,1,2019
2019-01-31,Ben Ferrer,South,Office Supplies,1270.99,635.495,1,2019
2019-01-31,Ben Ferrer,South,Office Supplies,125.36,58.9192,1,2019
2019-02-01,Cyma Kinney,South,Office Supplies,56.45,14.677,2,2019
2019-02-01,Suzanne McNair,West,Office Supplies,1105.52,48.5392,2,2019
2019-02-02,Adrian Barton,East,Office Supplies,117.96,5.898,2,2019
2019-02-02,Sanjit Engle,South,Technology,4749.95,2799.984,2,2019
